id,english,hindi
49,The station is located between these two towns.,स्टेशन इन दो नगरों के बीच स्थित है।
50,This lion is very tame.,यह शेर बहुत पालतू है।
51,All the students look up to him.,सारे विद्यार्थी उसका आदर-सम्मान करते थे।
52,He ought to have made allowances for his age.,उसे अपनी उम्र के बारे में सोचना चाहिए था।
53,My sister is very fond of children.,मेरी बहन को बच्चों से बहुत प्यार है।
54,Chris gets 7 gold coins!,क्रिस को सात सोने के सिक्के मिलते हैं!
55,This medicine will clear up your cold.,यह दवाई तुम्हारा गला साफ़ कर देगी।
56,You didn't have to come so early.,तुम्हे इतना जल्दी आने की ज़रूरत नहीं थी।
57,The flower died for want of water.,फ़ूल पानी की कमी से मर गया।
58,I sat between Tom and John.,मैं टॉम और जॉन के बीच में बैठा।
59,The novel is centered on the Civil War.,यह उपन्यास सिविल वॉर के बारे में है।
60,Here stood a green field; now it is a supermarket.,यहां एक हरा मैदान था; अब एक सुपरमार्केट है।
61,"Turning to the left, you will find the post office.",बाईं तरफ़ को मुड़ोगे तो तुम्हें डाक घर नज़र आएगा।
62,Can we effect a compromise?,हम कोई समझौता कर सकतें हैं क्या?
63,It doesn't matter when you come.,इससे कोई फरक नहीं पड़ता कि तुम कब आते हो|
64,How do you like your eggs done?,तुम्हे अपने अँडे कैसे पसंद हैं?
65,I wish I could help you.,काश मैं तुम्हारी मदद कर सकता।
66,He tends to get angry when people oppose him.,जब लोग उसके खिलाफ़ जातें हैं तो वह गुस्सा हो जाता है।
67,I like flowers of every description.,मुझे हर तरह के फूल पसंद हैं।
68,You should make good use of your time.,तुम्हे अपने समय का ठीक से इस्तेमाल करना चाहिए।
69,"Although fatalities tend to be rare, many people died as a result of volcanic eruptions during the last quarter century.",घायलो की संख्या कम है पर पिछले सवा सौ वर्षों में ज्वालामुखी विस्फोटो के कारण बहुत लोग मरे है ।
70,A selfish man thinks of nothing but his own feelings.,मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।
71,The strikers called off the strike of their own accord.,हड़तालियों ने अपने-आप ही हड़ताल बंद कर दी।
72,"Instead of cleaning the house today, I think I'll take a walk.",मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।
73,I think he's a bad person.,मुझे लगता है कि वह एक बुरा आदमी है ।
74,We need to look for a gas station because this car will soon run out of gas.,हमे पेट्रोल पम्प ढूँढना चाहिए क्योंकि गाड़ी में पेट्रोल खतम होने वाला है।
75,There is no satisfying spoiled children.,बिगड़े हुए बच्चों को खुश नहीं कर सकते।
76,She has been with me through the ebb and flow of my fortunes.,वे मेरी किस्मत के उतार चढ़ाव में लगातार मेरे साथ रहीं हैं।
77,The conditions that lead to my parents' divorce were engendered by their obsessive attitude toward work.,मेरे माता-पिता के विवाह विच्छेद के हालात उनके काम के प्रति अत्याधिक लगाव से पैदा हुए थे।
78,His first answer was laudable.,उनका पहला जवाब प्रशंसनीय था।
79,I agree with you to a degree.,मैं तुम्हारे साथ एक हद तक सहमत हूँ।
80,Are they Japanese or Chinese?,वे जापानी हैं या चीनी?
81,He will get better little by little.,वह धीरे-धीरे ठीक हो जाएगा।
82,He said he would see me the next day.,उसने कहा था कि वह मुझसे अगले दिन मिलेगा।
83,The animals in the forest died off.,जंगल के जानवर मर गए।
84,I had to help with the housework.,मुझे घर के कामकाज में मदद करनी पड़ी।
85,Someone knocked on the door.,किसी ने दरवाज़े पर खटखटाया।
86,May I talk with you in private about the matter?,मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?
87,Nancy received much solace from the cards and phone calls received from friends in the weeks after her husband died.,अपने पति की मृत्यु के बाद मित्रों के फोन और पत्रों से नेन्सी को काफी सांत्वना मिली।
88,Kill two birds with one stone.,एक तीर से दो शिकार।
89,We had no water to drink.,हमारे पास पीने के लिए पानी नहीं था।
90,In winter our lips get chapped.,सर्दियों में हमारे होठ फट जातें हैं।
91,"Hold your tongue, or you'll be killed.","अपनी ज़बान बंद रखो, नहीं तो मारे जाओगे।"
92,Let him in.,उसे अंदर भेजो।
93,It isn't raining much this year.,इस साल ज़्यादा बारिश नहीं हो रही है।
94,The bride suddenly laughed.,दुल्हन अचानक से हँस पड़ी।
95,You must get rid of such a habit.,तुम्हे इस तरह की आदत तोड़ देनी चाहिए।
96,The gate was left open.,गेट को खुला छोड़ दिया गया था।
97,The teacher was disappointed at my answer.,टीचर मेरा जवाब सुनकर निराश थीं।
98,There is a strange man at the door.,दरवाज़े पर कोई अजीब सा इनसान है।
99,Your parents are not to blame for such a result.,ऐसे नतीजे के लिए तुम्हारे माता-पिता पर दोष नहीं डाला जा सकता।
100,"He may be rich, but he is stingy.",वह अमीर है हो है पर कंजूस भी है।
101,I visit my grandmother twice a week.,मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।
102,He set fire to his own house.,उसने अपने ही घर को आग लगा दी।
103,Don't you want to go out?,बाहर नहीं जाना चाहते हो क्या?
104,How does the moon shine at night?,रात को चाँद कैसे चमकता है?
105,He believes whatever I say.,मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है।
106,A new means of communication was developed — the railway.,संचार के एक नए माध्यम का विस्तार हुआ - रेल।
107,Do you cook by gas or electricity?,तुम बिजली से खाना पकाती हो या गैस से?
108,"At last, the truth became known to us.",आखिरकार हमे सच्चाई का पता चल गया।
109,My wife has just cleared the table.,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
110,Don't lean against this wall.,इस दीवार पर मत झुँको।
111,I am not keen on this kind of music.,मुझे इस तरह का संगीत पसंद नहीं है।
112,Is it open on Sunday?,रविवार को खुला होता है क्या?
113,"It is, however, apposite to note that this process will continue in the year ahead.","तथापि, यह नोट करना उपयुक्त है कि यह प्रक्रिया अगले वर्ष जारी रहेगी।"
114,Speak louder for the benefit of those in the rear.,पीछे बैठे हुए लोगों के लिए थोड़ी ऊँची आवाज़ में बोलो।
115,Tom has sex with Mary.,टॉम मैरी के साथ संभोग करता है।
116,The President is to make a statement tomorrow.,राष्ट्रपति कल बयान देने वालें हैं।
117,We are sorry we can't help you.,माफ़ कीजिए पर हम आपकी मदद नहीं कर सकते।
118,Charlie was a mere child when I saw him last.,मैंने पिछली बार जब चार्ली को देखा था वह एक छोटा सा बच्चा था।
119,I have not finished the task yet.,मैंने अभी काम ख़तम नहीं किया है।
120,Do you have any brothers?,तुम्हारे कोई भाई हैं क्या?
121,It's not healthy for you.,यह तुम्हारी सेहत के लिए अच्छा नहीं है।
122,He has plenty of money in the bank.,उसके पास बैंक में बहुत पैसे हैं।
123,What time does it open?,कितने बजे खुलता है?
124,Same-sex marriage is legal here.,यहाँ समलैंगिक विवाह वैध है।
125,He kept us waiting for a long time.,उसने हमसे बहुत देर तक इंतेज़ार करवाया।
126,The temperature falls.,तापमान गिरता है।
127,We don't have sex anymore.,अभी हम सेक्स नहीं करते।
128,I don't know if it will rain tomorrow.,मुझे मालूम नहीं कल बारिश होगी या नहीं।
129,I have some money.,मेरे पास कुछ पैसे हैं।
130,"""What's the matter?"" asked the little white rabbit.","""क्या बात है?"" छोटे सफ़ेद खरगोश ने पूछा।"
131,You startled me!,तुमने मुझे डरा दिया!
132,"To make matters worse, he fell ill.",और-तो-और वह बीमार भी पड़ गया।
133,He named his son James.,उसने अपने बेटे का नाम जेम्स रखा।
134,Dan and Linda began to have sex.,डॅन और लिंडा सेक्स करने लगे।
135,"In that case, call the police.",अगर ऐसी बात है तो मैं पुलिस को फ़ोन मिलाता हूँ।
136,Never have I been so happy.,मैं कभी इतना खुश नहीं हुआ हूँ।
137,It is very important for us to know each other.,हमारे लिए एक-दूसरे को समझना बहुत ज़रूरी है।
138,Will you please go there?,आप वहाँ जाएँगे क्या?
139,What happened to our order?,हमारे औरडर का क्या हुआ?
140,Please give me the paper when you have done with it.,जब आपने अखबार पढ़ लिया हो तो मुझे दे दीजिएगा।
141,The number of fish caught in this river was very small.,इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।
142,What's more surprising?,अधिक आश्चर्य की बात क्या है?
143,It will take me no less than 10 hours to prepare for the exam.,मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।
144,I am so disappointed.,मुझे इतनी अधिक निराशा हुई है।
145,He saw a dog near the door.,उसने दरवाज़े के पास एक कुत्ता देखा।
146,"In India, you can find many saints in the Himalayan region who could be called prescient.",भारत में आप हिमालय क्षेत्र में ऐसे अनेक साधुओं को देख सकते हैं जिन्हें भविष्यदर्शी कहा जा सकता है।
147,Wear warm clothes in winter.,सर्दियों में गरम कपड़े पहनो।
148,Neither wild nor domestic animals appear to have any premonition of death.,न तो वन्य जीवों और न ही घरेलू जीवों को मृत्यु का पूर्वाभास होता है।
149,Too much money?,पैसे बहुत ज़्यादा हैं क्या?
150,Software is like sex: it's better when it's free.,सॉफ़्टवेयर सेक्स की तरह होता है: मुफ़्त में मिले तो बेहतर।
151,Do you know this part of the city very well?,तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?
152,The other day her mother passed away in the hospital.,कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।
153,"In metro cities, the local population mingles freely with visitors.",महानगरों में स्थानीय जनता आगन्तुकों के साथ स्वतंत्रता पूर्वक घुल-मिल जाती है।
154,My dear little cat has been missing for a week.,मेरी प्यारी सी नन्ही सी बिल्ली एक हफ़्ते से गायब है।
155,He always got in a fight with his mother in the movie.,वह फिल्म में हमेशा अपनी मां से झगड़ता रहता था।
156,My grandmother speaks slowly.,मेरी नानी धीरे-धीरे बोलतीं हैं।
157,The wind carries seeds for great distances.,हवा बीजों को दूर-दूर तक लेजाती है।
158,"After sex, I fell asleep with my head on her belly.",सेक्स के बाद मैं उसके पेट पर सिर रख कर सो गया।
159,I informed her of my success.,मैंने उसको अपनी कामयाबी के बारे में बताया।
160,He can't be ill.,वह बीमार नहीं हो सकता।
161,The village head decided to build a large granary to protect the grain from the weevils.,गांव के प्रधान ने अनाज को घुन आदि से बचाने के लिए एक विशाल अन्नागार बनाने का निर्णय किया।
162,Where should I pick the tickets up?,मुझे टिकटें कहाँ से लेनीं होंगीं?
163,"We love each other, but we don't have sex anymore.","हम एक दूसरे से प्यार करते हैं, मगर अब हम सेक्स नहीं करते।"
164,The police tried hard to unravel the mystery of killing.,पुलिस ने हत्या की गुथी को सुलझाने के लिए कड़ा प्रयास किया।
165,The criminal disclosed all the facts of the case eventually.,अंततः अपराधी ने मामले के सभी तथ्यों को उजागर कर दिया।
166,"If something does happen, I'll just play it by ear.",अगर कुछ हो भी जाता है तो मैं कोई-न-कोई जुगाड़ कर लूँगा।
167,"The teacher said, ""That's all for today.""","टीचर ने कहा, ""बस आज के लिए इतना ही।"""
168,You must observe the rules of the club.,तुम्हे क्लब के नियमों का पालन करना होगा।
169,I'm coming at once.,मैं अभी आता हूँ।
170,It was proved that he was a thief.,यह साबित कर दिया गया कि वह चोर था।
171,What a dick!,क्या लंड है!
172,You could see the weevils that have infested the rice.,आप चावल में लगे घुन को देख सकते थे।
173,"Some children thought that they could compose a lullaby, paint a picture, or make a teddy bear.","कुछ बच्चों ने यह सोचा कि वे लोरी रच सकते हैं, तस्वीर में रंग भर सकते हैं या टैड्डी बियर बना सकते हैं।"
174,I mentioned your name to him.,मैंने उसके साथ तुम्हारा नाम लिया था।
175,The burglars gagged the home owner and tied him to a chair.,चोरों ने घर के मालिक का मुंह बंद कर दिया तथा उसे कुर्सी से बाँध दिया।
176,Tom was worried.,टॉम चिंतित था।
177,I am nothing but a poor peasant.,मैं तो बस एक गरीब किसान ही हूँ।
178,Your letter was received on 29th ultimo.,आपका पत्र पिछले महीने की २९ तारीख को प्राप्त हुआ।
179,It is said that he is sick.,कहा जाता है कि वह बीमार है।
180,It is a good cake.,अच्छा केक है।
181,You can hear animals yammer in the meadows.,आप चारागाहों में जानवरों के रिरियाने की आवाज़ों को सुन सकते हैं।
182,She was in despair when her husband died.,जब उसके पति की मौत हो गई उसने सारी उम्मीद छोड़ दी।
183,These questions are easy to answer.,इन सवालों का जवाब देना आसान है।
184,What do you call this bird?,इस पक्षी का नाम क्या है?
185,What is the name of this bird?,इस चिड़िया का नाम क्या है?
186,"However hard it may rain, we will start tomorrow.","चाहे जितनी भी ज़ोर से बारिश हो, हम कल निकल चलेंगे।"
187,I must adjust my watch. It's slow.,मुझे अपनी घड़ी ठीक करनी है। धीरे चल रही है।
188,What's the temperature?,तापमान क्या है?
189,We communicate with each other by telephone every day.,हम रोज़ एक-दूसरे से फ़ोन पर बात करते हैं।
190,It appears that he is honest.,वह ईमानदार लगता है।
191,You should hand in your report to me Monday.,तुम्हे अपनी रिपोर्ट मुझे सोमवार को सौंप देनी चाहिए।
192,That is my book.,वह मेरा पुस्तक है।
193,It's up to me whether I kill you or let you live!,"तुम्हें जीने दूँ या मरने दूँ, यह मेरे ऊपर है।"
194,I drink coffee.,मैं कॉफ़ी पीता हूँ।
195,I had to decline his offer.,मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।
196,She reproached me for not answering the letter.,उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।
197,This feels like silk.,यह रेशम जैसा लगता है।
198,This cloth is really smooth and silky.,यह कपड़ा बहुत रेशमी है।
199,Please keep your ludicrous accusations to yourself in future.,कृपया भविष्य में अपने बेतुके दोषारोपणों को अपने पास ही रखें।
200,She is dressed in white.,उसने सफ़ेद कपड़े पहने हुएँ हैं।
201,He is a jack of all trades.,वह हरफनमौला है।
202,A thick mist covered the countryside.,गाँव पर गहरा कोहरा छा गया।
203,Don't deceive him.,उसे धोका मत दो।
204,The haze enveloped London.,लंदन में धुंध छा गई थी।
205,Will you make room for me?,मेरे लिए थोड़ी जगह बनाओगे क्या?
206,She is a wealthy woman.,वह बहुत पैसेवाली औरत है।
207,"Well, I must be going.",मुझे चलना चाहिए।
208,My orders should be carried out.,मेरे हुक्म की तामील की जाय।
209,You're a life saver.,तुमने मेरी जान बचाली।
210,We rested for a while.,हमने थोड़ी देर आराम किया।
211,I cover twenty miles a day.,मैं रोज़ बीस मील चलता हूँ।
212,I was in London last month.,मैं पिछले महीने लंदन में था।
213,He is indifferent to what he eats.,उसे उसके खाने से फ़र्क नहीं पड़ता।
214,It's an answer to her letter.,यह उसकी चिट्ठी का जवाब है।
215,When did he come back from Osaka?,वह ओसाका से वापस कब आया?
216,"""What shall I do?"" I said to myself.","""क्या करूँ?"" मैंने अपने-आप से पूछा।"
217,"Talking is one thing, doing is another.",बोलने और करने में फ़र्क होता है।
218,"He has two brothers, one lives in Osaka and the other in Kobe.","उसके दो भाई हैं, एक ओसाका में रहता है और दूसरा कोबे में।"
219,My family is small.,मेरा परिवार छोटा है।
220,China is a large country.,चीन बड़ा देश है।
221,"She is a vivid, playful and fiery girl.","वह शोख, चंचल और तेज तर्रार लडकी है।"
222,Could I please use your phone?,मैं आपका फ़ोन इस्तेमाल कर सकता हूँ क्या?
223,I want shelter.,मुझे पनाह चाहिए!
224,It's your turn. Please come this way.,तुम्हारी बारी है। इस तरफ़ आओ।
225,He was accused of murder.,उसपर कत्ल का इलज़ाम लगाया गया।
226,"I don't know how, but Tom did it.",पता नहीं कैसे पर टॉम ने कर दिया।
227,We are with you your whole life.,हम आजीवन आपके साथ है।
228,She always tries something new.,वह हमेशा कोई नया काम आज़माती रहती है।
229,Where did you go?,तुम कहाँ गए थे?
230,An educated/literate arrogant person got into a boat.,एक पढ़ा-लिखा दंभी व्यक्ति नाव में सवार हुआ।
231,I don't know what Tom knows.,मुझे नहीं पता कि टॉम को क्या पता है।
232,It was very difficult.,यह बहुत मुश्किल था।
233,She's in the garden planting roses.,"वह बगीचे में है, गुलाब के फूल लगा रही है।"
234,I don't know what they know.,मुझे नहीं पता कि उन्हें क्या पता है।
235,This book contains many pictures.,इस किताब में बहुत सारी तस्वीरें हैं।
236,They abandoned the sinking ship.,उन्होंने डूबते हुए जहाज़ को छोड़ दिया।
237,The old man sat in the chair with his eyes closed.,वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।
238,He is one of my neighbors.,वह मेरे पड़ोसियों में से एक है।
239,It is difficult for me.,वह मेरे लिए मुश्किल है।
240,How long did it take you to translate this book?,तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?
241,The company gave him a gold watch in acknowledgement of his services.,कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।
242,The man lost all hope.,उस आदमी ने सारी उम्मीद छोड़दी।
243,He looked back and smiled at me.,उसने पीछे मुड़कर मुझपर मुस्कुराया।
244,The sky clouded over.,आसमान बादल-बादल हो गया।
245,The man committed murder.,उस आदमी ने कत्ल किया।
246,The doctor advised that she take a holiday.,डॉक्टर ने उसको छुट्टी लेने की सलाह दी।
247,I heard someone call my name from behind.,मैंने किसी को पीछे से मेरे नाम पुकारते हुए सुना।
248,It's important for them to go out.,उनके लिए बाहर जाना बहुत ज़रूरी है।
249,Write back to me as soon as you get this letter.,तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।
250,I'm disappointed with you.,मैं तुमसे निराश हूँ।
251,I like the dog.,मुझे यह कुत्ता अच्छा लगता है।
252,He's always running short of cash.,उसको हमेशा पैसों की कमी होती है।
253,They dug here and there for treasure.,उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।
254,But you've never told me about this!,पर तुमने मुझे यह पहले कभी बताया नहीं था!
255,We may not win tomorrow.,हम कल शायद नहीं जीतेंगे।
256,Let's get together here once a week.,हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।
257,"The password is ""Muiriel"".","कूटशब्द ""Muriel"" है।"
258,"Believe it or not, she has three children.","मानो या न मानो, उसके तीन बच्चे हैं।"
259,Come if you can.,आ सको तो आना।
260,Burj Khalifa is currently the tallest skyscraper in the world.,अभी तक बुर्ज खलीफा दुनिया की सबसे लम्बी इमारत है।
261,This is a book often read by adults.,इस किताब को अक्सर वयस्क पढ़ा करते हैं।
262,"This is what we call ""tempura"".","इसी को हम ""तेम्पुरा"" कहते हैं।"
263,She could not understand the whole story.,वह पूरी कहानी को नहीं समझ पायी ।
264,Are you able to read the book attentively?,कया तुम ध्यान से किताब पाढ़ सकते हो ?
265,"In the past, people used to travel by a diligence.",पुराने ज़माने में लोग परिश्रम से सफ़र करते थे
266,Once upon a time they used to travel by a diligence.,एक समय वे सफ़र करने में परिश्रम करते थे
267,This work is simple enough that even a child can do it.,यह काम इतना सरल है की कोई बच्चा भी इसे कर सकता है।
268,You are a very good artist.,आप एक अच्छे कलाकार है
269,I have a dictionary.,मेरे पास एक शब्दकोश है।
270,The film should have already started.,फ़िल्म शुरू हो चुकी होगी।
271,That food is so bad that I wouldn't dream of eating it.,वह खाना ऐसा बुरा है कि मैं उसको भूलकर भी नहीं खाना चाहती हूँ।
272,I didn't know you were so rich.,मुझे नहीं पता था कि आप इतने अमीर हैं।
273,He is always joking.,वह हर वक़्त मज़ाक करता रहता है।
274,Closing your eyes helps you think better.,"आँखों को झुकाएं, ख़यालात को बुलंद करें..."
275,There are four rooms in my house.,मेरे घर में चार कमरे हैं।
276,Some people don't know about that.,कुछ आदमियों को वह पता नहीं है।
277,I am responsible for this mistake.,इस ग़लती के लिए मैं ज़िम्मेदार हूँ।
278,The police arrested the man who had murdered the girl.,पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।
279,I go to school by subway.,मैं मेट्रो लेकर स्कूल जाती हूँ।
280,In order to stay awake I may have to drink more coffee.,मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।
281,He comes to meet me sometimes.,वह कभी-कभार मुझसे मिलने आता है।
282,Someone robbed Mary of her money.,किसी ने मेरी से उसके पैसे चुरा लिए।
283,He earns more money than he can spend.,वह ज़रूरत से ज़्यादा पैसे कमाता है।
284,I have been to Kyoto.,मैं क्योटो गया हुआ हूँ।
285,You must not be afraid of making mistakes when learning a language.,कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।
286,Is there a cafe?,यहाँ कैफ़े है क्या?
287,Mayuko can ride a bicycle.,मायुको साईकल चला सकती है।
288,I truly loved her.,मैं उससे सच्चा प्यार करता था।
289,All the flowers in the garden died for lack of water.,बाग के सारे फूल पानी की कमी की वजह से मर गए।
290,The flowers have all withered.,सारे फूल मुरझा गए हैं।
291,I will come back to Canada tomorrow.,मैं कल कनाडा वापस आऊँगा।
292,"If I had known her address, I would have written to her.","अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।"
293,"By the way, have you ever been to Hokkaido?","वैसे, तुम कभी होक्काईदो गई हुई हो क्या?"
294,I don't know if she will come.,मुझे नहीं पता कि वह आएगी कि नहीं।
295,I don't know who wrote this letter.,मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।
296,Please throw the ball.,गेंद फेंकिए।
297,Africa was once called the Dark Continent.,अफ़्रीका को एक समय में अंधेर महाद्वीप बुलाया जाता था।
298,I will get through with my homework before he comes.,मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।
299,I will go to America tomorrow.,मैं कल अमेरिका जाऊँगी।
300,He is an actor.,वह अभिनेता है।
301,I like maths.,मुझे गणित पसंद है।
302,I accompanied him on the trip.,मैं सफ़र पर उसके साथ गया।
303,I go to school on foot.,मैं स्कूल चलकर जाती हूँ।
304,Your bicycle is similar to mine.,तुम्हारी साईकल मेरी साईकल जैसी है।
305,Are you younger than him?,तुम उससे छोटे हो क्या?
306,My jeans shrank in the wash.,मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
307,We were startled at the explosion.,हम धमाके से डर गए।
308,But they will come here tomorrow.,पर वे कल यहाँ आएँगे।
309,"""Where do you live?"" ""I live in Tokyo.""","""आप कहाँ रहते हैं?"" ""मैं टोक्यो में रहता हूँ"""
310,Did he tell you anything?,उसने तुम्हें कुछ बताया क्या?
311,No sooner had Helen come home than she fell sick.,हेलेन घर आते ही बीमार पड़ गई।
312,He is anxious about the result.,वह नतीजे के लिए बेचैन है।
313,It was hard for me to refuse his request.,"मेरे लिए उससे ""ना"" कहना बहुत मुश्किल था।"
314,He has been to London three times.,वह लंदन तीन बार जा चुका है।
315,The doctor bound my wounds.,डॉक्टर ने मेरी चोटों पर पट्टी लगाई।
316,I don't want your pity.,मुझे तुम्हारी दया नहीं चहिए।
317,I have no idea how he escaped.,मुझे नहीं पता वह कैसे निकल भागा।
318,She reminds me very much of her mother.,वह मुझे उसकी माँ की याद दिलाती है।
319,Man is 70% water.,आदमी सत्तर प्रतिशत पानी का बना हुआ है।
320,Workers must have their hair cut short.,कर्मचारियों को अपने बाल छोटे कटाने होते हैं।
321,I caught a glimpse of her.,मुझे उसकी झलक दिखाई दी।
322,Everything is all right at home.,घर में सब-कुछ ठीक है।
323,I don't feel like eating now.,मुझे अभी खाना खाने का मन नहीं है।
324,I haven't had a chance to see the movie yet.,मुझे अभी तक उस फ़िल्म को देखने का मौका नहीं मिला है।
325,The reason which he gave is hard to understand.,उसके दिए गए कारण को समझना मुश्किल है।
326,"We had no customers, so we shut the shop early.","हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।"
327,They stood face to face.,वे आमने-सामने खड़े हुए।
328,Hunger drove him to steal.,भूख ने उसे चोरी करने पर मजबूर किया।
329,He works on the farm from morning till night.,वह खेत पर सुबह से शाम तक काम करता है।
330,It will not make much difference whether you go today or tomorrow.,"तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।"
331,"This rule applies to you, too.",यह नियम तुमपर भी लागु होता है।
332,They gathered in the gym.,वे सब जिमखाने में मिले।
333,To go out half-naked is shameful.,अधनंगे बाहर जाना बहुत शर्मदार होता है।
334,"Can I have the key now, please?",मुझे अब चाबी मिल सकती है क्या?
335,He came singing a song.,वह गाना गाते हुए आया।
