id,english,hindi
17,"And dispute not with the people of the Book unless in the best manner, save with those of them who do wrong; and say: we believe in that which hath been sent down unto us and that which hath been sent down unto you: our God and your God is One; and unto Him we are submissive.","और किताबवालों से बस उत्तम रीति ही से वाद-विवाद करो - रहे वे लोग जो उनमें ज़ालिम हैं, उनकी बात दूसरी है - और कहो - ""हम ईमान लाए उस चीज़ पर जो अवतरित हुई और तुम्हारी ओर भी अवतरित हुई। और हमारा पूज्य और तुम्हारा पूज्य अकेला ही है और हम उसी के आज्ञाकारी है।"""
18,Kennebunk,"केनेबंकCity name (optional, probably does not need a translation)"
19,"Sometimes, the selected text has some whitespace at the end, which, if loaded as URL in a browser would cause an error. Enabling this option removes any whitespace at the beginning or end of the selected string (the original clipboard contents will not be modified).","कभी- कभी चुने गए पाठ के अंत में व्हाइट- स्पेस होता है, जो यदि यूआरएल की तरह ब्राउज़र में लोड होता है तो यह त्रुटि पैदा कर सकता है. इस विकल्प को सक्षम करने पर कोई भी व्हाइटस्पेस जो चुने गए वाक्यांश के प्रारंभ या अंत में हो, तो उसे हटा देता है( क्लिपबोर्ड के मूल विषय- वस्तु में कोई परिवर्धन नहीं होता)."
20,Failed to find Response element,अनुक्रिया तत्व ढूढ़ने में विफल
21,FIB(9) returns 34,FIB( 9) का परिणाम होगा 34
22,Do they possess the treasuries of your Lord? Or do they control [them]?,क्या तुम्हारे परवरदिगार के ख़ज़ाने इन्हीं के पास हैं या यही लोग हाकिम हैं
23,"Allah sets forth the Parable (of two men: one) a slave under the dominion of another; He has no power of any sort; and (the other) a man on whom We have bestowed goodly favours from Ourselves, and he spends thereof (freely), privately and publicly: are the two equal? (By no means;) praise be to Allah. But most of them understand not.",एक मसल ख़ुदा ने बयान फरमाई कि एक ग़ुलाम है जो दूसरे के कब्जे में है (और) कुछ भी एख्तियार नहीं रखता और एक शख़्श वह है कि हमने उसे अपनी बारगाह से अच्छी (खासी) रोज़ी दे रखी है तो वह उसमें से छिपा के दिखा के (ग़रज़ हर तरह ख़ुदा की राह में) ख़र्च करता है क्या ये दोनो बराबर हो सकते हैं (हरगिज़ नहीं) अल्हमदोलिल्लाह (कि वह भी उसके मुक़र्रर हैं) मगर उनके बहुतेरे (इतना भी) नहीं जानते
24,Then go to the Pharaoh as he has become exceedingly rebellious.,"जाओ दोनों, फ़िरऔन के पास, वह सरकश हो गया है"
25,"He it is Who fashionoth You in the Wombs as He will: there is no god but He, the Mighty, the Wise.",वही तो वह ख़ुदा है जो माँ के पेट में तुम्हारी सूरत जैसी चाहता है बनाता हे उसके सिवा कोई माबूद नहीं
26,Third power,तृतीय घातx to the power of y
27,Bottom Left,निचला बायाँ
28,"It is He who made the earth submissive to you; therefore walk in its tracts, and eat of His provision; to Him is the Uprising.","वही तो है जिसने तुम्हारे लिए धरती को वशीभूत किया। अतः तुम उसके (धरती के) कन्धों पर चलो और उसकी रोज़ी में से खाओ, उसी की ओर दोबारा उठकर (जीवित होकर) जाना है"
29,Nathan?,नाथन?
30,"And some there are of the People of the Book who believe in God, and what has been sent down unto you, and what has been sent down unto them, men humble to God, not selling the signs of God for a small price; those -- their wage is with their Lord; God is swift at the reckoning.",और अहले किताब में से कुछ लोग तो ऐसे ज़रूर हैं जो ख़ुदा पर और जो (किताब) तुम पर नाज़िल हुई और जो (किताब) उनपर नाज़िल हुई (सब पर) ईमान रखते हैं ख़ुदा के आगे सर झुकाए हुए हैं और ख़ुदा की आयतों के बदले थोड़ी सी क़ीमत (दुनियावी फ़ायदे) नहीं लेते ऐसे ही लोगों के वास्ते उनके परवरदिगार के यहॉ अच्छा बदला है बेशक ख़ुदा बहुत जल्द हिसाब करने वाला है
31,"The following reactions clarify his case and express condemnations from Saudi writers, artists, and others standing in solidarity.","नीचे दी गई सउदी अरब के लेखक, कलाकार और अन्य लोगों की भर्त्सना करती प्रतिक्रियाएं, उनके साथ एकजुटता प्रदर्शित करते हुए उनके मामले को स्पष्ट करती हैं।"
32,I'll deal with that situation as soon as I get out of here.,जैसे ही मैं यहाँ से बाहर निकलूं मैं स्थिति संभाल लूंगा.
33,- Okay?,- ठीक है?
34,"and can neither help them, nor help themselves?",और न उनकी मदद की कुदरत रखते हैं और न आप अपनी मदद कर सकते हैं
35,I cooked dinner.,मैंने (रात का) खाना पकाया।
36,Turkish (_IBM-857),तुर्की(_IBM-857)
37,>From the fruit of the date palm and the grapes you derive intoxicants as well as wholesome food. Surely in this there is a sign for men of understanding.,"और खजूरों और अंगूरों के फलों से भी, जिससे तुम मादक चीज़ भी तैयार कर लेते हो और अच्छी रोज़ी भी। निश्चय ही इसमें बुद्धि से काम लेनेवाले लोगों के लिए एक बड़ी निशानी है"
38,Folder '%s' is not empty. Not deleted.,'%s' फ़ोल्डर खाली नहीं है. मिटाया नहीं गया है.
39,Hello.,हैलो.
40,"And before them We indeed tried the people of Firaun, and an Honourable Noble Messenger came to them.",और उनसे पहले हमने क़ौमे फिरऔन की आज़माइश की और उनके पास एक आली क़दर पैग़म्बर (मूसा) आए
41,Yahoo Calendar name:,पंचांग संदेश
42,Some believe she whispers orders in your ear and you obey.,कुछ वह आपके कान में फुसफुसाते हुए आदेश विश्वास करते हैं और आप का पालन करना।
43,Pivot Point Z,बिंदु धुरी Z
44,Select the angle you want to construct the bisector of...,उस कोण को चुनें जिसका द्विभाजक बनाना हो...
45,"Okay just calm down, we'll get to the bottom of this.","ठीक है बस शांत हो जाओ, हम इसकी तह तक मिलेगा."
46,Say thou: people of the Book! ye rest not on aught until ye establish the Taurat and the Injil and that which hath now been sent down unto you from your Lord. And that which hath been sent down unto thee will surely increase many of them in exorbitance and infidelity; so mourn thou not over and disbelieving people.,"कह दो, ॅ""ऐ किताबवालो! तुम किसी भी चीज़ पर नहीं हो, जब तक कि तौरात और इनजील को और जो कुछ तुम्हारे रब की ओर से तुम्हारी ओर अवतरित हुआ है, उसे क़ायम न रखो।"" किन्तु (ऐ नबी!) तुम्हारे रब की ओर से तुम्हारी ओर जो कुछ अवतरित हुआ है, वह अवश्य ही उनमें से बहुतों की सरकशी और इनकार में अभिवृद्धि करनेवाला है। अतः तुम इनकार करनेवाले लोगों की दशा पर दुखी न होना"
47,%1's %2,% 1% 2folder name (folder storage name)
48,Add Attachment,अनुलग्नक जोड़ें
49,The ironworks!,कच्चे लोहे का ढलाई खाना!
50,Select all text in the editor,चुनें सभी पाठ इंच
51,Video Conferencing URL,वीडियो सम्मेलन URL
52,Do you trust these clowns?,आप इन जोकर पर भरोसा है?
53,Best,उत्तम
54,boot/ boot. catalog,boot/ boot. catalog
55,"And his people's only answer was to say, “Expel them from your town; they are purist people.”","उसकी क़ौम के लोगों का उत्तर इसके अतिरिक्त और कुछ न था कि वे बोले, ""निकालो, उन लोगों को अपनी बस्ती से। ये ऐसे लोग है जो बड़े पाक-साफ़ है!"""
56,New Contact:,नया संपर्क
57,"Verily, this my brother (in religion) has ninety nine ewes, while I have (only) one ewe, and he says: ""Hand it over to me, and he overpowered me in speech.""",(मुराद ये हैं कि) ये (शख्स) मेरा भाई है और उसके पास निनान्नवे दुम्बियाँ हैं और मेरे पास सिर्फ एक दुम्बी है उस पर भी ये मुझसे कहता है कि ये दुम्बी भी मुझी को दे दें और बातचीत में मुझ पर सख्ती करता है
58,DUKE:,ड्यूक:
59,Error contacting the Account Manager,खाता प्रबंधक से संपर्क करने में त्रुटि
60,"Those of your women who commit fornication, let four (Muslim) witness testify to their act. If there is sufficient testimony, confine them to their homes until they die, or until God provides a way for their freedom.","और तुम्हारी स्त्रियों में से जो व्यभिचार कर बैठे, उनपर अपने में से चार आदमियों की गवाही लो, फिर यदि वे गवाही दे दें तो उन्हें घरों में बन्द रखो, यहाँ तक कि उनकी मृत्यु आ जाए या अल्लाह उनके लिए कोई रास्ता निकाल दे"
61,Do not follow tags,नहीं अनुसरण करें
62,"O Ye who believe! if ye fear Allah He will make for you a distinction and will expiate for you your misdeeds, and forgive you; and Allah is Owner of Mighty Grace.",ऐ ईमान लानेवालो! यदि तुम अल्लाह का डर रखोगे तो वह तुम्हें एक विशिष्टता प्रदान करेगा और तुमसे तुम्हारी बुराइयाँ दूर करेगा और तुम्हे क्षमा करेगा। अल्लाह बड़ा अनुग्राहक है
63,"I'm sorry, Doug.",मैं माफी डौग हूँ.
64,"There are some among them who pledged themselves to God, saying, ""If God gives us something out of His bounty, we shall certainly give alms and be righteous,""","और उनमें से कुछ लोग ऐसे भी है जिन्होने अल्लाह को वचन दिया था कि ""यदि उसने हमें अपने अनुग्रह से दिया तो हम अवश्य दान करेंगे और नेक होकर रहेंगे।"""
65,%s through %s wishes to receive the latest information for the following assigned task:,%s ने %s के द्वारा निम्न दिये गये कार्य के लिए अद्यतन सूचना पाना चाहता है:
66,Lord Asano's samurai have attacked Irontown!,Ashitaka ? सामुराई ironworks पर हमला कर रहे हैं!
67,Eject a disc,डिस्क बाहर निकालें
68,"And then I realized, he has a weak spot.",और तब मुझे एहसास हुआ वह एक कमजोर जगह है.
69,So I'm actually looking for my own building anyway.,तो मैं वास्तव में मेरे स्वयं के निर्माण के लिए वैसे भी देख रहा हूँ.
70,_16:9,_16:9
71,%s nm,%s nmunit-symbols
72,"His is whatsoever is in the heavens and whatsoever is in the earth; and most surely Allah is the Self-sufficient, the Praised.",उसी का है जो कुछ आकाशों में और जो कुछ धरती में है। निस्संदेह अल्लाह ही निस्पृह प्रशंसनीय है
73,O which of your Lord's bounties will you and you deny?,फिर तुम दोनों अपने रब की महानताओं में से किस-किस को झुठलाओगे?
74,"They said, “Purity is to our Lord – we have indeed been unjust.”","वे पुकार उठे, ""महान और उच्च है हमारा रब! निश्चय ही हम ज़ालिम थे।"""
75,"Indeed those who do not expect to encounter Us and who are pleased with the life of this world and satisfied with it, and those who are oblivious of Our signs",इसमें भी शक़ नहीं कि जिन लोगों को (क़यामत में) हमारी (बारगाह की) हुज़ूरी का ठिकाना नहीं और दुनिया की (चन्द रोज़) ज़िन्दगी से निहाल हो गए और उसी पर चैन से बैठे हैं और जो लोग हमारी आयतों से ग़ाफिल हैं
76,"Here, enter the text you want to insert in your image.",यहाँ पर आप वह पाठ भरें जो आप अपनी छवि में प्रविष्ट करना चाहते हैं.
77,Caesar... weak.,सीज़र... दुर्बल है।
78,"And among men there is he who disputes about Allah without knowledge and without guidance and without an illuminating book,",और लोगों में से कुछ ऐसे भी है जो बेजाने बूझे बे हिदायत पाए बगैर रौशन किताब के (जो उसे राह बताए) खुदा की आयतों से मुँह मोडे
79,"And there are some who, though they say: ""We believe in God and the Last Day,"" (in reality) do not believe.",और बाज़ लोग ऐसे भी हैं जो (ज़बान से तो) कहते हैं कि हम खुदा पर और क़यामत पर ईमान लाए हालाँकि वह दिल से ईमान नहीं लाए
80,Fog in Vicinity,आसपड़ोस में धुंधweather condition
81,I thought I killed you.,मैंने सोचा कि मैं आप को मार डाला।
82,"And [recall, O Children of Israel], when We saved you from the people of Pharaoh, [who were] afflicting you with the worst torment - killing your sons and keeping your women alive. And in that was a great trial from your Lord.",हालॉकि उसने तुमको सारी खुदाई पर फज़ीलत दी है (ऐ बनी इसराइल वह वक्त याद करो) जब हमने तुमको फिरऔन के लोगों से नजात दी जब वह लोग तुम्हें बड़ी बड़ी तकलीफें पहुंचाते थे तुम्हारे बेटों को तो (चुन चुन कर) क़त्ल कर डालते थे और तुम्हारी औरतों को (लौन्डियॉ बनाने के वास्ते ज़िन्दा रख छोड़ते) और उसमें तुम्हारे परवरदिगार की तरफ से तुम्हारे (सब्र की) सख्त आज़माइश थी
83,It has reminders.,इसमें अनुस्मारक है..
84,Resize,आकार बदलें
85,"We afflicted Pharaoh's people with shortages of food and famine so that they might take heed,",और बेशक हमने फिरऔन के लोगों को बरसों से कहत और फलों की कम पैदावार (के अज़ाब) में गिरफ्तार किया ताकि वह इबरत हासिल करें
86,"%s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.","%s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details."
87,Password to pass as authentication when doing HTTP proxying.,बतौर सत्यापन आगे जाने के लिए कूटशब्द जब HTTP प्रॉक्सी कर रहे हैं.
88,On the Day of Resurrection neither your blood-kindred nor your own offspring will avail you. (On that Day) He will separate you. Allah sees all that you do.,क़यामत के दिन न तुम्हारे रिश्ते नाते ही कुछ काम आएँगे न तुम्हारी औलाद (उस दिन) तो वही फ़ैसला कर देगा और जो कुछ भी तुम करते हो ख़ुदा उसे देख रहा है
89,Negative.,नकारात्मक.
90,All right!,सब ठीक है!
91,Show deleted messages (with a strike-through) in the message-list.,संदेश सूची (आर-पार काटे हुए के साथ ) में मिटाए संदेश दिखाएँ.
92,ATANH(0.8) equals 1.09861229,ATANH( 0. 8) बराबर है: 1. 09861229
93,Subject:,विषय:
94,_Attachment...,संलग्नक... (_A)
95,"By the morning brightness,","साक्षी है चढ़ता दिन,"
96,256 KiB,कि. बा.
97,"They ask you to hasten the evil before the good, yet (many) exemplary punishments have indeed occurred before them. But verily, your Lord is full of Forgiveness for mankind inspite of their wrong-doing. And verily, your Lord is (also) Severe in punishment.",और (ऐ रसूल) ये लोग तुम से भलाई के क़ब्ल ही बुराई (अज़ाब) की जल्दी मचा रहे हैं हालॉकि उनके पहले (बहुत से लोगों की) सज़ाएं हो चुकी हैं और इसमें शक़ नहीं की तुम्हारा परवरदिगार बावजूद उनकी शरारत के लोगों पर बड़ा बख़शिश (करम) वाला है और इसमें भी शक़ नहीं कि तुम्हारा परवरदिगार यक़ीनन सख्त अज़ाब वाला है
98,"You should have received a copy of the GNU General Public License along with Brasero; if not, write to the Free Software Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301, USA","You should have received a copy of the GNU General Public License along with Brasero; if not, write to the Free Software Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301, USA"
99,"We found no (loyalty to any) covenant in most of them. Nay, most of them We found wrong-doers.","हमने उनके अधिकतर लोगो में प्रतिज्ञा का निर्वाह न पाया, बल्कि उनके बहुतों को हमने उल्लंघनकारी ही पाया"
100,The certificate is self-signed.,प्रमाणपत्र स्व-हस्ताक्षरित है.
101,Display history help,इतिहास मदद दिखाएँ
102,The layout for the top panel pluginview.,शीर्ष पैनल pluginview के लिए लेआउट.
103,Surely your Lord will judge among them on the Day of Resurrection concerning the matters about which the Children of Israel used to differ.,(ऐ रसूल) हसमें शक़ नहीं कि जिन बातों में लोग (दुनिया में) बाहम झगड़ते रहते हैं क़यामत के दिन तुम्हारा परवरदिगार क़तई फैसला कर देगा
104,Convert End Of Line characters to DOS EOL (CRLF),बदलें अंत पंक्ति अक्षर को डॉस EOL
105,Could not read folder permissions,फ़ोल्डर नहीं खोल सका: अनुमति नहीं है
106,Laois,लाओसjamaica. kgm
107,We have created them of special creation.,(उनको) वह हूरें मिलेंगी जिसको हमने नित नया पैदा किया है
108,"They will excuse themselves to you when you go back to them. Say: Urge no excuse, by no means will we believe you; indeed Allah has informed us of matters relating to you; and now Allah and His Apostle will see your doings, then you shall be brought back to the Knower of the unseen and the seen, then He will inform you of what you did.",जब तुम उनके पास (जिहाद से लौट कर) वापस आओगे तो ये (मुनाफिक़ीन) तुमसे (तरह तरह) की माअज़रत करेंगे (ऐ रसूल) तुम कह दो कि बातें न बनाओ हम हरग़िज़ तुम्हारी बात न मानेंगे (क्योंकि) हमे तो ख़ुदा ने तुम्हारे हालात से आगाह कर दिया है अनक़ीरब ख़ुदा और उसका रसूल तुम्हारी कारस्तानी को मुलाहज़ा फरमाएगें फिर तुम ज़ाहिर व बातिन के जानने वालों (ख़ुदा) की हुज़ूरी में लौटा दिए जाओगे तो जो कुछ तुम (दुनिया में) करते थे (ज़र्रा ज़र्रा) बता देगा
109,"Then when He removes the adversity from you, at once a party of you associates others with their Lord","फिर जब वह उस तकलीफ़ को तुमसे टाल देता है, तो क्या देखते है कि तुममें से कुछ लोग अपने रब के साथ साझीदार ठहराने लगते है,"
110,No!,नहीं!
111,Paste,चिपकाएँ (P)
112,Allow popups,पॉपअप स्वीकारें
113,Stop.,रूक जा।
114,& Invert Current String (search < -- > replace),वर्तमान वाक्याँश उलटें (ढूंढें < -- > बदलें) (I)
115,"And how many a generation have We destroyed before them, who were mightier in power than they, and they traversed the cities! No place of refuge could they find.",और हमने तो इनसे पहले कितनी उम्मतें हलाक कर डाली जो इनसे क़ूवत में कहीं बढ़ कर थीं तो उन लोगों ने (मौत के ख़ौफ से) तमाम शहरों को छान मारा कि भला कहीं भी भागने का ठिकाना है
116,Snippets Group:,स्निपेट समूह:
117,Remote debugging,शक्तिशाली डिबगिंग औजार
118,"And they followed what the devils taught during the reign of Salomon. It was not Solomon who disbelieved, but it was the devils who disbelieved. They taught the people witchcraft and what was revealed in Babylon to the two angels Harut and Marut. They did not teach anybody until they had said, “We are a test, so do not lose faith.” But they learned from them the means to cause separation between man and his wife. But they cannot harm anyone except with God's permission. And they learned what would harm them and not benefit them. Yet they knew that whoever deals in it will have no share in the Hereafter. Miserable is what they sold their souls for, if they only knew.","और जो वे उस चीज़ के पीछे पड़ गए जिसे शैतान सुलैमान की बादशाही पर थोपकर पढ़ते थे - हालाँकि सुलैमान ने कोई कुफ़्र नहीं किया था, बल्कि कुफ़्र तो शैतानों ने किया था; वे लोगों को जादू सिखाते थे - और उस चीज़ में पड़ गए जो बाबिल में दोनों फ़रिश्तों हारूत और मारूत पर उतारी गई थी। और वे किसी को भी सिखाते न थे जब तक कि कह न देते, ""हम तो बस एक परीक्षा है; तो तुम कुफ़्र में न पड़ना।"" तो लोग उन दोनों से वह कुछ सीखते है, जिसके द्वारा पति और पत्नी में अलगाव पैदा कर दे - यद्यपि वे उससे किसी को भी हानि नहीं पहुँचा सकते थे। हाँ, यह और बात है कि अल्लाह के हुक्म से किसी को हानि पहुँचनेवाली ही हो - और वह कुछ सीखते है जो उन्हें हानि ही पहुँचाए और उन्हें कोई लाभ न पहुँचाए। और उन्हें भली-भाँति मालूम है कि जो उसका ग्राहक बना, उसका आखिरत में कोई हिस्सा नहीं। कितनी बुरी चीज़ के बदले उन्होंने प्राणों का सौदा किया, यदि वे जानते (तो ठीक मार्ग अपनाते)"
119,Select which holiday region to use,@ item: inlistbox No date
120,This shall be their entertainment on the Day of Judgement.,यह बदला दिए जाने के दिन उनका पहला सत्कार होगा
121,Run Script,फ़ोल्डर जोड़ें
122,Open the selected bookmark in a new tab,चयनित पसंद को नए टैब में खोलें
123,After his death?,उसकी मौत के बाद?
124,Current mixer,मौज़ूदा मिक्सर
125,"Phalanx, attention!","व्यूह, सावधान!"
126,"Isn't that right, Jane?",~ नहीं है कि जेन?
127,"O Apostle! preach thou all that hath been sent down unto thee from thy Lord; and if thou do it not, thou wilt not have preached His message. Allah shall protect thee from mankind; verily Allah shall not guide a disbelieving people.",ऐ रसूल जो हुक्म तुम्हारे परवरदिगार की तरफ़ से तुम पर नाज़िल किया गया है पहुंचा दो और अगर तुमने ऐसा न किया तो (समझ लो कि) तुमने उसका कोई पैग़ाम ही नहीं पहुंचाया और (तुम डरो नहीं) ख़ुदा तुमको लोगों के श्शर से महफ़ूज़ रखेगा ख़ुदा हरगिज़ काफ़िरों की क़ौम को मंज़िले मक़सूद तक नहीं पहुंचाता
128,Mumbai is the capital of the Indian state of Maharashtra.,मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
129,That's respect enough to let us know his intentions.,कि हमें अपने इरादे बताने के लिए सम्मान के लिए पर्याप्त है .
130,“You and your forefathers preceding you.”,या तुम्हारे अगले बाप दादा (करते थे) ये सब मेरे यक़ीनी दुश्मन हैं
131,(No Grouping),(समूहबद्धता नहीं)
132,When I think of how stubborn and senseless you were back in the day.,जब यह सोचता हूँ कि पहले तुम कितने अड़ियल और नादान हुआ करते थे--
133,Specify session management ID,सत्र प्रबंधन ID निर्दिष्ट करें
134,Could not save signature file.,हस्ताक्षर फ़ाइल सहेज नहीं सका.
135,So?,तो?
136,Insert Smiley,स्माइली दें
137,Right Delimiter,दायाँ डेलिमिटर
138,& masculine: \t,नर:\ t (m) @ label the gender of the word: female
139,I've got it.,मैं यह मिल गया है.
140,"He merged the two seas, converging together.","उसने दो समुद्रो को प्रवाहित कर दिया, जो आपस में मिल रहे होते है।"
141,Warnings:,चेतावनियां
142,Thereafter We raised up many a generation and a long time passed. You were then not even present among the people of Midian to rehearse Our verses to them. But it is We Who are sending news about that.,मगर हमने (मूसा के बाद) बहुतेरी उम्मतें पैदा की फिर उन पर एक ज़माना दराज़ गुज़र गया और न तुम मदैन के लोगों में रहे थे कि उनके सामने हमारी आयते पढ़ते (और न तुम को उन के हालात मालूम होते) मगर हम तो (तुमको) पैग़म्बर बनाकर भेजने वाले थे
143,Everyone in the heavens and the earth asks Him. Every day He is managing.,और जितने लोग सारे आसमान व ज़मीन में हैं (सब) उसी से माँगते हैं वह हर रोज़ (हर वक्त) मख़लूक के एक न एक काम में है
144,Africa/Lagos,अफ्रीका/लागोस
145,Somebody in the picture?,कोई इस फोटो में?
146,"“In fact, we are unfortunate.”","नहीं, बल्कि हम वंचित होकर रह गए।"""
147,She's still in there.,-वो अंदर ही है। इंतज़ार करें !
148,Upgrade from previous version failed:,पूर्ववर्ती संस्करण से श्रेणीविस्तार असफल:
149,"We saved him and all his family, except his wife, who was made to remain,",तब हमने उनको और उनके घर वालों को नजात दी मगर सिर्फ (एक) उनकी बीबी को कि वह (अपनी बदआमाली से) पीछे रह जाने वालों में थी
150,"And there are advantages for you in them, and that you may attain thereon a want which is in your breasts, and upon them and upon the ships you are borne.",और तुम्हारे लिए उनमें (और भी) फायदे हैं और ताकि तुम उन पर (चढ़ कर) अपनी दिली मक़सद तक पहुँचो और उन पर और (नीज़) कश्तियों पर सवार फिरते हो
151,Home Page,पहला पन्ना
152,Those who like to publicize indecency among the believers will face painful torment in this world and in the life to come. God knows what you do not know.,"जो लोग चाहते है कि उन लोगों में जो ईमान लाए है, अश्लीहलता फैले, उनके लिए दुनिया और आख़िरत (लोक-परलोक) में दुखद यातना है। और अल्लाह बड़ा करुणामय, अत्यन्त दयावान है"
153,"They will ask thee for a pronouncement. Say: 'God pronounces to you concerning the indirect heirs. If a man perishes having no children, but he has a sister, she shall receive a half of what he leaves, and he is her heir if she has no children. If there be two sisters, they shall receive two-thirds of what he leaves; if there be brothers and sisters, the male shall receive the portion of two females. God makes clear to you, lest you go astray; God has knowledge of everything.","वे तुमसे आदेश मालूम करना चाहते है। कह दो, ""अल्लाह तुम्हें ऐसे व्यक्ति के विषय में, जिसका कोई वारिस न हो, आदेश देता है - यदि किसी पुरुष की मृत्यु हो जाए जिसकी कोई सन्तान न हो, परन्तु उसकी एक बहन हो, तो जो कुछ उसने छोड़ा है उसका आधा हिस्सा उस बहन का होगा। और भाई बहन का वारिस होगा, यदि उस (बहन) की कोई सन्तान न हो। और यदि (वारिस) दो बहनें हो, तो जो कुछ उसने छोड़ा है, उसमें से उनके लिए दो-तिहाई होगा। और यदि कई भाई-बहन (वारिस) हो तो एक पुरुष को हिस्सा दो स्त्रियों के बराबर होगा।"" अल्लाह तुम्हारे लिए आदेशों को स्पष्ट करता है, ताकि तुम न भटको। और अल्लाह को हर चीज का पूरा ज्ञान है"
154,Go home.,घर जाओ.
155,Couldn't delete file,फाइल मिटा नहीं सका
156,Witnessed by those brought near.,उसके पास मुक़र्रिब (फ़रिश्ते) हाज़िर हैं
157,"Others are held in suspense, awaiting God’s decree, as to whether He will punish them, or accept their repentance. God is Aware and Wise.",और कुछ लोग हैं जो हुक्मे ख़ुदा के उम्मीदवार किए गए हैं (उसको अख्तेयार है) ख्वाह उन पर अज़ाब करे या उन पर मेहरबानी करे और ख़ुदा (तो) बड़ा वाकिफकार हिकमत वाला है
158,Africa/El_Aaiun,अफ्रीका/एल_ऐउन
159,Caribou,कैरिबू
160,100%,100%
161,Size:,आकारः
162,Be not deceived by the comings and goings of unbelievers in the land.,(ऐ रसूल) काफ़िरों का शहरों शहरों चैन करते फिरना तुम्हे धोखे में न डाले
163,"So We gave him back to his mother that her eye might be refreshed, and that she might no grieve, and that she might know that the promise of Allah is true, but most of them do not know.","इस प्रकार हम उसे उसकी माँ के पास लौटा लाए, ताकि उसकी आँख ठंड़ी हो और वह शोकाकुल न हो और ताकि वह जान ले कि अल्लाह का वादा सच्चा है, किन्तु उनमें से अधिकतर लोग जानते नहीं"
164,He said: My Lord! appoint a sign for me. Said He: Your sign is that you should not speak to men for three days except by signs; and remember your Lord much and glorify Him in the evening and the morning.,"उसने कहा, ""मेरे रब! मेरे लिए कोई आदेश निश्चित कर दे।"" कहा, ""तुम्हारे लिए आदेश यह है कि तुम लोगों से तीन दिन तक संकेत के सिवा कोई बातचीत न करो। अपने रब को बहुत अधिक याद करो और सायंकाल और प्रातः समय उसकी तसबीह (महिमागान) करते रहो।"""
165,_Important,महत्वपूर्ण (_I)
